name,latitud,longitud,category
ABC Centre d'Estudis,40.4027257,-3.6748938,'Preschool'
Guardería Chiqui Tin Moratalaz,40.409716096902564,-3.653978810012599,'Preschool'
Foodies in the City,40.4212121,-3.717057899999986,'Preschool'
Planet Organic Food&Life,40.428808,-3.681333,'Vegetarian / Vegan Restaurant'
Swagat Indian Restaurant,40.424512747185425,-3.683114294018983,'Vegetarian / Vegan Restaurant'
Roots,40.424572,-3.6955872,'Vegetarian / Vegan Restaurant'
Bunny's Deli,40.423935,-3.6971583,'Vegetarian / Vegan Restaurant'
La Galette 2 - Casa Escondida,40.423449262141645,-3.69254024923133,'Vegetarian / Vegan Restaurant'
Fit Food Velázquez 39,40.42603396100617,-3.6841320991516113,'Vegetarian / Vegan Restaurant'
Honest Greens,40.428914,-3.687266,'Vegetarian / Vegan Restaurant'
Fresc Co,40.423412355084764,-3.6756471459774516,'Vegetarian / Vegan Restaurant'
Swagat II Indian Restaurant,40.43584381433536,-3.672426984943857,'Vegetarian / Vegan Restaurant'
Hard Rock Cafe Madrid,40.426430437500976,-3.6895652644921406,'Beer Bar'
The Shaker,40.42908,-3.673566,'Beer Bar'
Casa Corona,40.432024,-3.690458,'Beer Bar'
Cervecería La Bodega,40.44114114528655,-3.6728172390891123,'Beer Bar'
Seny,40.42761068962923,-3.6698131892946964,'Beer Bar'
La Castela,40.42043470417075,-3.6765640741828016,'Tapas Restaurant'
Cervecería La Sureña,40.423706,-3.6731079,'Beer Bar'
Gambrinus,40.41811838046273,-3.6730494937445153,'Brewery'
Club Estudiantes de Baloncesto,40.44238683050752,-3.6860641016242583,'Basketball Court'
Gimnasio Moscardó,40.43790851048033,-3.6743357832208003,'Gym / Fitness Center'
el bami,40.43041515505852,-3.6554551682217302,'Basketball Court'
Colegio Agustiniano - Baloncesto,40.41256735584714,-3.664717853338254,'Basketball Court'
Centro Deportivo Municipal Arganzuela,40.39450203103769,-3.6914544054497034,'Basketball Court'
Estación de Madrid-Puerta de Atocha,40.406466953350915,-3.6898029407203756,'Train Station'
Pasillo de Diego de León,40.432397414227665,-3.6748883292887187,'Platform'
Cercanías Recoletos,40.423328097639214,-3.6909449326533026,'Train Station'
Cercanías Nuevos Ministerios,40.44539800994098,-3.69182525314663,'Train Station'
Vía 4,40.445467478612066,-3.691754800299472,'Train Station'
Vía 3,40.4454982292796,-3.691759754353641,'Train Station'
Cercanías Sol,40.41694264946852,-3.7030062744743986,'Train Station'
Intercambiador de Sol,40.41693193080081,-3.7030229001260166,'Train Station'
Vía 2,40.445426691730006,-3.691752448853722,'Platform'
Vía 1,40.4454857743293,-3.6917278357164043,'Platform' 
Estación de Cercanías de Madrid-Atocha,40.405496649455955,-3.688215570235963,'Train Station'
Metro Antón Martín,40.41192762537371,-3.6980581283569336,'Train Station'
Plaza Del Embarcadero,40.407320592516236,-3.690194297389399,'Train Station'
Andén AVE Vía 7,40.406446,-3.690179,'Train Station'
Cercanías Pirámides,40.40601526685077,-3.6887279639378208,'Train Station'
Vía 3 Estación de Madrid-Puerta de Atocha,40.40450711293239,-3.6874499106823904,'Train Station'
AVE Puerta 13 Planta Baja,40.406242,-3.690179,'Train Station'
Vía 3 Cercanías Madrid,40.4055968035926,-3.688009674217214,'Train Station'
AVE Madrid-Albacete,40.405705239015795,-3.6896989097103496,'Train Station'
Parking Ave,40.4045887329377,-3.6875143079417074,'Train Station'
Vía 1 Cercanías Sol,40.416939,-3.702998,'Platform' 
Metro Madrid Línea 1,40.411555847534444,-3.697353191046533,'Train'
Anden 5 AVE Estación de Madrid-Puerta de Atocha,40.4053859555181,-3.6894660791777474,'Train Station'
Vía 11,40.40514792858796,-3.689649371209372,'Train Station'
Alaris Madrid-Valencia,40.40266156196594,-3.684966,'Train Station'
RENFE AVE,40.40650623236095,-3.689946602943222,'Train'
Avant Madrid - Toledo,40.40658693838445,-3.690714459675617,'Train'
Renfe Madrid - Alcazar De San Juan,40.40614350924264,-3.6894611253482767,'Train'
Ave 2120 Mad- Svq,40.406159134178004,-3.6900110033825095,'Train'
Me vuelvo a Murcia,40.40613263394396,-3.689892110327889,'Train'
AVE Madrid - Barcelona,40.406066611779096,-3.6900754039038146,'Train'
AVE Madrid - Sevilla,40.40580888292935,-3.6894660791777474,'Train'
AVE Madrid - Zaragoza,40.405658269143316,-3.689238203524386,'Train'
AVE Madrid-Alicante,40.40592915292434,-3.6904320851991916,'Train'
Vía 5 Cercanías Atocha,40.40601302981499,-3.688509464263916,'Platform' 
Alvia Madrid Pamplona,40.40567646587863,-3.6894845909584215,'Train'
AVE Madrid - Huesca,40.40570482998021,-3.6896394635150007,'Train'
Altaria Madrid - Algeciras,40.405780403352736,-3.6901249428221687,'Train'
MD Madrid-Jaén,40.40537145315646,-3.6887923628250174,'Train'
Vía 9 Cercanías - Atocha,40.40584963581963,-3.6888098716735835,'Platform'
AVE Madrid-Cordoba,40.40535271245656,-3.6890945433141975,'Train'
AVE Madrid-Tarragona,40.40555552562845,-3.6899471282958984,'Train'
Andén Vía 4 AVE Estación de Madrid-Puerta de Atocha,40.40594350411079,-3.689253064948736,'Platform'
