_id,name,lat,long,category,loc,distance
{'$oid': '602150ef28ec95f95d4ebfc8'},Apeadero de Veriña,43.54179160132995,-5.72323975793821,'Train Station',"{'type': 'Point', 'coordinates': [-5.72323975793821, 43.54179160132995]}",1.140955129635689
{'$oid': '602150ef28ec95f95d4ebfc9'},Apeadero de Monteana,43.52073070907147,-5.7463246207774485,'Train Station',"{'type': 'Point', 'coordinates': [-5.7463246207774485, 43.52073070907147]}",2.0557124503702657
{'$oid': '602150ef28ec95f95d4ebfca'},Estación Renfe de La Calzada,43.535303851896245,-5.697795152664185,'Train Station',"{'type': 'Point', 'coordinates': [-5.697795152664185, 43.535303851896245]}",2.2928499465832473
{'$oid': '602150ef28ec95f95d4ebfbd'},Pabellón de deportes Perchera La Braña,43.530417709853936,-5.680975771029601,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.680975771029601, 43.530417709853936]}",3.6163819617889454
{'$oid': '602150ef28ec95f95d4ebfcb'},Estación de Gijón,43.5374605908186,-5.675345041209899,'Train Station',"{'type': 'Point', 'coordinates': [-5.675345041209899, 43.5374605908186]}",4.117392607180605
{'$oid': '602150ef28ec95f95d4ebfb0'},Puzzle,43.53449883690792,-5.666295289993286,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-5.666295289993286, 43.53449883690792]}",4.806980925790189
{'$oid': '602150ef28ec95f95d4ebfb5'},Vor Beer & Bar,43.53515745076216,-5.665707285582895,'Beer Bar',"{'type': 'Point', 'coordinates': [-5.665707285582895, 43.53515745076216]}",4.859502083410054
{'$oid': '602150ef28ec95f95d4ebfaf'},La Vaina,43.542004121138575,-5.665961945495282,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-5.665961945495282, 43.542004121138575]}",4.957683069682842
{'$oid': '602150ef28ec95f95d4ebfbe'},Complejo Polideportivo Llano-Contrueces,43.52636466875895,-5.662912722147623,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.662912722147623, 43.52636466875895]}",5.104511642252548
{'$oid': '602150ef28ec95f95d4ebfb8'},Cervecería bar La Mina,43.542593719295695,-5.663495017796304,'Beer Bar',"{'type': 'Point', 'coordinates': [-5.663495017796304, 43.542593719295695]}",5.166313916991529
{'$oid': '602150ef28ec95f95d4ebfba'},Casa Lúpulo Taproom,43.543514,-5.662746,'Beer Bar',"{'type': 'Point', 'coordinates': [-5.662746, 43.543514]}",5.249656816869532
{'$oid': '602150ef28ec95f95d4ebfb3'},Twist Vegetal,43.54361242880226,-5.662434555676824,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-5.662434555676824, 43.54361242880226]}",5.276699420615095
{'$oid': '602150ef28ec95f95d4ebfb1'},Beware of the cat,43.54649746916194,-5.66254431733905,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-5.66254431733905, 43.54649746916194]}",5.357685260488674
{'$oid': '602150ef28ec95f95d4ebfcc'},Apeadero de Serín,43.50506814925669,-5.782031081899923,'Train Station',"{'type': 'Point', 'coordinates': [-5.782031081899923, 43.50506814925669]}",5.415490710736064
{'$oid': '602150ef28ec95f95d4ebfb6'},La Trapense,43.540216093708494,-5.658723129481578,'Beer Bar',"{'type': 'Point', 'coordinates': [-5.658723129481578, 43.540216093708494]}",5.489353330808663
{'$oid': '602150ef28ec95f95d4ebfbb'},Robi,43.537454414736175,-5.655701643467106,'Beer Bar',"{'type': 'Point', 'coordinates': [-5.655701643467106, 43.537454414736175]}",5.686862487556911
{'$oid': '602150ef28ec95f95d4ebfb7'},Vincer,43.53871784144642,-5.653404443256199,'Brewery',"{'type': 'Point', 'coordinates': [-5.653404443256199, 43.53871784144642]}",5.887812042356538
{'$oid': '602150ef28ec95f95d4ebfb2'},Mostaza Y Media,43.539684,-5.6533055,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-5.6533055, 43.539684]}",5.910850195444241
{'$oid': '602150ef28ec95f95d4ebfbf'},Pabellon Ceares Coto Viesques,43.52673053906753,-5.652753195192441,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.652753195192441, 43.52673053906753]}",5.9148219225872225
{'$oid': '602150ef28ec95f95d4ebfb9'},Psicotapas,43.52615205459169,-5.649398554992778,'Beer Bar',"{'type': 'Point', 'coordinates': [-5.649398554992778, 43.52615205459169]}",6.190246760918483
{'$oid': '602150ef28ec95f95d4ebfc0'},Pabellon De Deporte De La Arena,43.538987271196206,-5.649540962559529,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.649540962559529, 43.538987271196206]}",6.200471085026708
{'$oid': '602150ef28ec95f95d4ebfcf'},Apeadero feve candás,43.586505910712376,-5.767826527523605,'Train',"{'type': 'Point', 'coordinates': [-5.767826527523605, 43.586505910712376]}",6.971843140350087
{'$oid': '602150ef28ec95f95d4ebfd0'},Estación Feve Candás,43.58486679647137,-5.772616982132456,'Train',"{'type': 'Point', 'coordinates': [-5.772616982132456, 43.58486679647137]}",7.012999672451849
{'$oid': '602150ef28ec95f95d4ebfcd'},Estacion FEVE Candas,43.58630831093993,-5.77128426063881,'Train Station',"{'type': 'Point', 'coordinates': [-5.77128426063881, 43.58630831093993]}",7.092532776831566
{'$oid': '602150ef28ec95f95d4ebfbc'},Palacio de Deportes de Gijón,43.53638094829848,-5.632975625536136,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.632975625536136, 43.53638094829848]}",7.500881730733952
{'$oid': '602150ef28ec95f95d4ebfce'},Apeadero de Villabona Tabladiello,43.47402463823274,-5.800214605507076,'Train Station',"{'type': 'Point', 'coordinates': [-5.800214605507076, 43.47402463823274]}",8.783584771845884
{'$oid': '602150ef28ec95f95d4ebfd1'},Estación RENFE de Villabona,43.46137660077158,-5.826101303100586,'Train Station',"{'type': 'Point', 'coordinates': [-5.826101303100586, 43.46137660077158]}",11.251816290890243
{'$oid': '602150ef28ec95f95d4ebfc4'},Polideportivo Los Canapés,43.54643295767845,-5.915236473083496,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.915236473083496, 43.54643295767845]}",15.35729268772135
{'$oid': '602150ef28ec95f95d4ebfc2'},Polideportivo La Magdalena,43.55007221943791,-5.928143262863159,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.928143262863159, 43.55007221943791]}",16.436978954487746
{'$oid': '602150ef28ec95f95d4ebfc1'},Palacio de los Deportes,43.36779815057599,-5.831574622122632,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.831574622122632, 43.36779815057599]}",20.126130925317018
{'$oid': '602150ef28ec95f95d4ebfc3'},Polideportivo Pumarin,43.370613791822045,-5.846760307835992,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.846760307835992, 43.370613791822045]}",20.40048856381191
{'$oid': '602150ef28ec95f95d4ebfb4'},Manglar,43.36472013853088,-5.841212868690491,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-5.841212868690491, 43.36472013853088]}",20.773790730967953
{'$oid': '602150ef28ec95f95d4ebfae'},Freinet,43.36031723022461,-5.84918737411499,'Preschool',"{'type': 'Point', 'coordinates': [-5.84918737411499, 43.36031723022461]}",21.503204627367126
{'$oid': '602150ef28ec95f95d4ebfc5'},Florida Arena,43.3661623352016,-5.874704391760463,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.874704391760463, 43.3661623352016]}",21.98424909716328
{'$oid': '602150ef28ec95f95d4ebfc6'},"Palacio de Deportes ""Juan Carlos Beiro""",43.30091514389456,-5.6888580322265625,'Basketball Court',"{'type': 'Point', 'coordinates': [-5.6888580322265625, 43.30091514389456]}",25.8349879373982
{'$oid': '602150ef28ec95f95d4ebfc7'},Polideportivo de Ujo,43.20795828337064,-5.789782262757964,'Gym',"{'type': 'Point', 'coordinates': [-5.789782262757964, 43.20795828337064]}",36.368043461653045
