name,latitud,longitud,category
La Camelia Vegan-Bar,43.261577,-2.92542,'Vegetarian / Vegan Restaurant'
Bohemian Lane,43.25643000858261,-2.9247841211133747,'Vegetarian / Vegan Restaurant'
Garibolo,43.258352692,-2.933279752,'Vegetarian / Vegan Restaurant'
Restaurante Luum,43.264866,-2.933099,'Vegetarian / Vegan Restaurant'
Morrocotuda Bar,43.265842291980604,-2.9322583218610556,'Beer Bar'
Bihotz Café,43.25546242866321,-2.9262361897577085,'Beer Bar'
Ledesma N°5,43.2621493293564,-2.9287021357437655,'Beer Bar'
Penguin Bar,43.26242456587024,-2.9398722108536237,'Beer Bar'
Cervecera Arambarri,43.25560975775748,-2.9246276674514426,'Beer Bar'
Residence,43.26616040609214,-2.932257982783606,'Pub'
la Santa Caña,43.26216946227061,-2.9410455398818547,'Beer Bar'
Oddity,43.2584,-2.925058,'Lounge'
"Zona de Pintxos, García Rivero/Licenciado Poza",43.26209172329073,-2.9390600835116567,'Tapas Restaurant'
Kirruli,43.26307706900917,-2.943422215866908,'Bar'
NBA Fan Zone,43.26136308404195,-2.923942690858156,'Basketball Court'
Mundobasket Fan Zone,43.26041228801192,-2.924410901561595,'Basketball Court'
Cancha de basket de Solokoetxe,43.25533695408868,-2.9203581050539578,'Basketball Court'
Sudenpesä,43.26073605371366,-2.9401669206705625,'Basketball Court'
Fronton Alonsotegi,43.24538,-2.990099,'Basketball Court'
IMD Barakaldo,43.277887037069846,-2.9944991692415885,'Basketball Court'
Estación de Abando Indalecio Prieto,43.26048731215511,-2.927953004837036,'Train Station'
Estacion FEVE La Concordia,43.26004642968753,-2.9256980146858793,'Train Station'
Plaza del Funicular / Funikularreko plaza,43.26842444358343,-2.926441719147161,'Train Station'
Estación de San Nicolás,43.26017657781402,-2.922186217749781,'Train Station'
EuskoTren Casco Viejo,43.26030638360346,-2.9219882862349076,'Train Station'
Euskotren San Nikolas,43.2600496906265,-2.922338128646173,'Train Station'
Estación de Atxuri,43.254213456149714,-2.9215022923516023,'Train Station'
Renfe Zabalburu,43.25623016471469,-2.9326762309781222,'Train Station'
Estación de Miribilla,43.2503800641892,-2.9304340481758118,'Train Station'
EuskoTren,43.254095756985436,-2.921419143676758,'Train'
Estación de Ametzola,43.254662,-2.943658,'Train Station'
Renfe Autonomía,43.258955096281106,-2.945733990378071,'Train Station'
