_id,name,lat,long,category,loc,distance
{'$oid': '602150f628ec95f95d4ebfd6'},Planet Organic Food&Life,40.428808,-3.681333,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-3.681333, 40.428808]}",0.19083563889665542
{'$oid': '602150f628ec95f95d4ebfe0'},The Shaker,40.42908,-3.673566,'Beer Bar',"{'type': 'Point', 'coordinates': [-3.673566, 40.42908]}",0.48814469075720457
{'$oid': '602150f628ec95f95d4ebfed'},Pasillo de Diego de León,40.43239741422767,-3.674888329288719,'Platform',"{'type': 'Point', 'coordinates': [-3.674888329288719, 40.43239741422767]}",0.4895693133675426
{'$oid': '602150f628ec95f95d4ebfdb'},Fit Food Velázquez 39,40.42603396100617,-3.6841320991516113,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-3.6841320991516113, 40.42603396100617]}",0.5658116208444034
{'$oid': '602150f628ec95f95d4ebfd7'},Swagat Indian Restaurant,40.42451274718543,-3.683114294018983,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-3.683114294018983, 40.42451274718543]}",0.6465064858179469
{'$oid': '602150f628ec95f95d4ebfdc'},Honest Greens,40.428914,-3.687266,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-3.687266, 40.428914]}",0.6779600822392449
{'$oid': '602150f628ec95f95d4ebfdd'},Fresc Co,40.42341235508477,-3.675647145977452,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-3.675647145977452, 40.42341235508477]}",0.7492503841509928
{'$oid': '602150f628ec95f95d4ebfe3'},Seny,40.42761068962923,-3.669813189294696,'Beer Bar',"{'type': 'Point', 'coordinates': [-3.669813189294696, 40.42761068962923]}",0.8314452451115328
{'$oid': '602150f628ec95f95d4ebfe5'},Cervecería La Sureña,40.423706,-3.6731079,'Beer Bar',"{'type': 'Point', 'coordinates': [-3.6731079, 40.423706]}",0.8348575971277626
{'$oid': '602150f628ec95f95d4ebfde'},Swagat II Indian Restaurant,40.43584381433536,-3.672426984943857,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-3.672426984943857, 40.43584381433536]}",0.9100400556256979
{'$oid': '602150f628ec95f95d4ebfdf'},Hard Rock Cafe Madrid,40.426430437500976,-3.6895652644921406,'Beer Bar',"{'type': 'Point', 'coordinates': [-3.6895652644921406, 40.426430437500976]}",0.9355747782312774
{'$oid': '602150f628ec95f95d4ebfe1'},Casa Corona,40.432024,-3.690458,'Beer Bar',"{'type': 'Point', 'coordinates': [-3.690458, 40.432024]}",0.9836685273135763
{'$oid': '602150f628ec95f95d4ebfe8'},Gimnasio Moscardó,40.43790851048033,-3.6743357832208,'Gym / Fitness Center',"{'type': 'Point', 'coordinates': [-3.6743357832208, 40.43790851048033]}",1.0199800453266878
{'$oid': '602150f628ec95f95d4ebfe4'},La Castela,40.42043470417075,-3.6765640741828016,'Tapas Restaurant',"{'type': 'Point', 'coordinates': [-3.6765640741828016, 40.42043470417075]}",1.0396958630484807
{'$oid': '602150f628ec95f95d4ebfee'},Cercanías Recoletos,40.423328097639214,-3.690944932653303,'Train Station',"{'type': 'Point', 'coordinates': [-3.690944932653303, 40.423328097639214]}",1.2042611974122521
{'$oid': '602150f628ec95f95d4ebfda'},La Galette 2 - Casa Escondida,40.423449262141645,-3.69254024923133,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-3.69254024923133, 40.423449262141645]}",1.3100488758089621
{'$oid': '602150f628ec95f95d4ebfe6'},Gambrinus,40.41811838046273,-3.6730494937445153,'Brewery',"{'type': 'Point', 'coordinates': [-3.6730494937445153, 40.41811838046273]}",1.3768584914993547
{'$oid': '602150f628ec95f95d4ebfe2'},Cervecería La Bodega,40.44114114528655,-3.672817239089112,'Beer Bar',"{'type': 'Point', 'coordinates': [-3.672817239089112, 40.44114114528655]}",1.4007990106768313
{'$oid': '602150f628ec95f95d4ebfd8'},Roots,40.424572,-3.6955872,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-3.6955872, 40.424572]}",1.4856046273110817
{'$oid': '602150f628ec95f95d4ebfe7'},Club Estudiantes de Baloncesto,40.44238683050752,-3.6860641016242575,'Basketball Court',"{'type': 'Point', 'coordinates': [-3.6860641016242575, 40.44238683050752]}",1.5379103528690397
{'$oid': '602150f628ec95f95d4ebfd9'},Bunny's Deli,40.423935,-3.6971583,'Vegetarian / Vegan Restaurant',"{'type': 'Point', 'coordinates': [-3.6971583, 40.423935]}",1.635492834222853
{'$oid': '602150f628ec95f95d4ebfe9'},el bami,40.43041515505852,-3.65545516822173,'Basketball Court',"{'type': 'Point', 'coordinates': [-3.65545516822173, 40.43041515505852]}",2.020553071820213
{'$oid': '602150f628ec95f95d4ebff4'},Vía 2,40.445426691730006,-3.691752448853722,'Platform',"{'type': 'Point', 'coordinates': [-3.691752448853722, 40.445426691730006]}",2.0560443590832747
{'$oid': '602150f628ec95f95d4ebfef'},Cercanías Nuevos Ministerios,40.44539800994098,-3.69182525314663,'Train Station',"{'type': 'Point', 'coordinates': [-3.69182525314663, 40.44539800994098]}",2.0564759595492537
{'$oid': '602150f628ec95f95d4ebff0'},Vía 4,40.44546747861207,-3.691754800299472,'Train Station',"{'type': 'Point', 'coordinates': [-3.691754800299472, 40.44546747861207]}",2.0600415251997286
{'$oid': '602150f628ec95f95d4ebff5'},Vía 1,40.4454857743293,-3.691727835716404,'Platform' ,"{'type': 'Point', 'coordinates': [-3.691727835716404, 40.4454857743293]}",2.0606238631966263
{'$oid': '602150f628ec95f95d4ebff1'},Vía 3,40.4454982292796,-3.691759754353641,'Train Station',"{'type': 'Point', 'coordinates': [-3.691759754353641, 40.4454982292796]}",2.0631942048923255
{'$oid': '602150f628ec95f95d4ebfea'},Colegio Agustiniano - Baloncesto,40.41256735584714,-3.664717853338254,'Basketball Court',"{'type': 'Point', 'coordinates': [-3.664717853338254, 40.41256735584714]}",2.2560544561552223
{'$oid': '602150f628ec95f95d4ec000'},Vía 1 Cercanías Sol,40.416939,-3.702998,'Platform' ,"{'type': 'Point', 'coordinates': [-3.702998, 40.416939]}",2.4475623780404168
{'$oid': '602150f628ec95f95d4ebff2'},Cercanías Sol,40.41694264946852,-3.703006274474399,'Train Station',"{'type': 'Point', 'coordinates': [-3.703006274474399, 40.41694264946852]}",2.447904026657231
{'$oid': '602150f628ec95f95d4ebff3'},Intercambiador de Sol,40.41693193080081,-3.7030229001260166,'Train Station',"{'type': 'Point', 'coordinates': [-3.7030229001260166, 40.41693193080081]}",2.4497404442851205
